album,artist,release_date,popularity,danceability,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Country
Con Calma,Daddy Yankee,2019-01-24,99,0.737,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,MX
HP,Maluma,2019-03-01,90,0.837,0.837,0.791,1.14e-06,0.188,-3.157,0.0773,91.98,MX
Calma (Remix),Pedro Capó,2018-10-05,97,0.826,0.826,0.773,0.0,0.143,-4.218,0.0524,126.899,MX
Te Vi,Piso 21,2018-12-14,92,0.877,0.877,0.777,3.46e-05,0.0863,-4.246,0.117,102.02,MX
Secreto,Anuel Aa,2019-01-15,97,0.807,0.807,0.803,0.00853,0.136,-4.156,0.126,91.987,MX
Desconocidos,Mau y Ricky,2018-10-12,93,0.709,0.709,0.771,3.29e-06,0.249,-4.598,0.166,174.006,MX
Pa Mí (Remix),Dalex,2019-02-07,90,0.688,0.688,0.62,5.27e-06,0.158,-8.029,0.22,170.018,MX
Dancin (feat. Luvli) [Krono Remix],Aaron Smith,2014-11-07,87,0.72,0.72,0.741,1.41e-05,0.289,-6.529,0.0287,119.896,MX
Baila Baila Baila,Ozuna,2019-01-05,96,0.816,0.816,0.754,0.0,0.217,-2.75,0.111,99.966,MX
Un Año,Sebastian Yatra,2019-01-18,92,0.771,0.771,0.382,0.0,0.104,-6.808,0.0514,94.931,MX
Adan y Eva,Paulo Londra,2018-11-05,95,0.767,0.767,0.709,0.0,0.0676,-4.47,0.336,171.993,MX
Ella Quiere Beber (Remix),Anuel Aa,2018-11-02,88,0.75,0.75,0.665,0.0,0.0515,-3.083,0.124,95.239,MX
Rebota,Guaynaa,2018-12-14,81,0.796,0.796,0.911,0.0,0.499,-1.998,0.285,180.128,MX
"thank u, next",Ariana Grande,2019-02-08,95,0.778,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,MX
Baby Girl (feat. Lalo Ebratt),Mario Bautista,2018-08-17,85,0.804,0.804,0.705,0.000138,0.202,-5.272,0.199,103.009,MX
Sola,Manuel Turizo,2018-11-09,83,0.704,0.704,0.706,0.0,0.0965,-5.233,0.111,92.965,MX
Ni Gucci Ni Prada,Kenny Man,2018-09-14,86,0.799,0.799,0.676,0.000777,0.325,-5.644,0.169,104.956,MX
Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,98,0.76,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,MX
Amanece,Anuel Aa,2018-12-14,92,0.79,0.79,0.631,0.0,0.158,-5.549,0.0425,94.039,MX
Esclavo de Tus Besos,Manuel Turizo,2019-02-15,88,0.805,0.805,0.671,0.0,0.278,-5.316,0.111,90.979,MX
MIA (feat. Drake),Bad Bunny,2018-10-11,95,0.817,0.817,0.539,0.000496,0.099,-6.349,0.0621,97.062,MX
Reggaeton,J Balvin,2018-11-17,90,0.747,0.747,0.74,9.94e-05,0.101,-4.325,0.191,176.059,MX
Créeme,Karol G,2018-11-02,89,0.715,0.715,0.872,0.000146,0.11,-3.501,0.0547,96.939,MX
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,96,0.841,0.841,0.798,3.33e-06,0.0618,-4.206,0.229,95.948,MX
"Los Campeones del Pueblo ""The Big Leagues""",Wisin & Yandel,2018-12-14,87,0.8,0.8,0.74,0.0,0.0558,-4.52,0.0479,90.035,MX
Sucker,Jonas Brothers,2019-03-01,98,0.842,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,MX
No Te Contaron Mal,Christian Nodal,2018-09-07,81,0.617,0.617,0.57,0.0,0.143,-3.074,0.0374,163.2,MX
Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,97,0.741,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998,MX
A Star Is Born Soundtrack,Lady Gaga,2018-10-05,97,0.572,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,MX
54+1,Danny Ocean,2019-03-22,41,0.729,0.729,0.616,0.0,0.082,-6.422,0.249,106.486,MX
Bubalu,Various Artists,2018-11-06,89,0.8,0.8,0.355,0.0,0.118,-10.47,0.0895,145.929,MX
Pa Olvidarte (feat. Manuel Turizo) [Remix],ChocQuibTown,2019-02-01,87,0.724,0.724,0.791,6.55e-06,0.239,-5.411,0.169,176.011,MX
